Date,Particulate_Matter,Ozon,Nitrogen_Dioxide,Sulfur_Dioxide
2023/1/6,133,3,16,9
2023/1/7,156,4,19,9
2023/1/8,182,4,17,9
2023/1/13,118,4,10,9
2023/1/14,154,1,7,9
2023/1/15,125,2,6,8
2023/1/16,96,2,3,9
2023/1/17,137,3,3,9
2023/1/18,141,2,4,9
2023/1/19,168,2,4,9
2023/1/20,179,6,6,9
2023/1/21,193,3,6,9
2023/1/22,189,1,7,9
2023/1/23,158,4,4,8
2023/1/25,150,2,3,9
2023/1/26,160,3,4,9
2023/1/27,148,5,5,9
2023/1/28,143,6,7,9
2023/1/29,163,5,12,9
2023/1/30,181,2,16,9
2023/1/31,156,2,15,9
2023/2/9,78,2,10,10
2023/2/10,86,2,7,10
2023/2/11,99,2,9,9
2023/2/12,116,2,13,9
2023/2/13,114,2,10,9
2023/2/14,108,4,10,10
2023/2/15,120,4,12,10
2023/2/16,152,3,18,10
2023/2/17,170,2,19,10
2023/2/18,135,2,11,10
2023/2/19,153,7,13,10
2023/2/20,139,4,21,10
2023/2/21,154,5,17,10
2023/2/22,115,3,18,10
2023/2/24,112,8,14,10
2023/2/25,99,10,14,10
2023/2/26,145,8,19,10
2023/2/27,160,5,20,10
2023/2/28,151,2,17,10
2023/3/1,153,10,17,11
2023/3/2,180,6,20,9
2023/3/5,169,7,17,8
2023/3/6,158,7,14,8
2023/3/7,121,5,17,8
2023/3/8,133,7,13,8
2023/3/9,165,4,14,8
2023/3/10,164,2,15,8
2023/3/11,144,6,15,9
2023/3/12,148,7,7,8
2023/3/13,119,8,12,8
2023/3/14,153,4,16,9
2023/3/15,148,4,11,9
2023/3/16,94,3,11,9
2023/3/20,114,3,13,9
2023/3/21,124,6,13,8
2023/3/22,157,5,14,8
2023/3/23,146,4,14,9
2023/3/24,147,4,11,8
2023/3/25,122,2,8,9
2023/3/26,88,2,8,9
2023/3/27,73,2,9,9
2023/3/28,97,2,9,9
2023/3/29,92,2,11,9
2023/3/30,112,2,18,10
2023/3/31,157,2,16,10
2022/10/1,85,1,9,8
2022/10/25,140,4,15,8
2022/10/26,161,1,14,8
2022/10/27,99,2,20,8
2022/10/28,123,8,18,8
2022/10/29,163,6,13,8
2022/10/31,90,5,12,8
2022/11/1,92,6,17,8
2022/11/2,139,7,20,9
2022/11/3,169,6,18,9
2022/11/4,159,7,14,8
2022/11/5,155,8,15,8
2022/11/6,157,2,21,9
2022/11/7,159,7,16,9
2022/11/8,170,7,15,9
2022/11/11,128,1,14,9
2022/11/12,117,1,15,9
2022/11/13,129,1,16,9
2022/11/15,113,1,12,9
2022/11/16,96,1,9,9
2022/11/17,77,1,11,9
2022/11/18,83,1,12,8
2022/11/19,96,2,10,8
2022/11/20,113,1,16,8
2022/11/21,145,2,13,8
2022/11/22,156,2,11,8
2022/11/27,78,1,9,8
2022/11/28,74,1,9,8
2022/11/29,82,1,7,8
2022/12/1,62,1,6,8
2022/12/2,71,1,10,8
2022/12/4,89,1,7,8
2022/12/5,71,1,12,8
2022/12/6,136,2,10,8
2022/12/10,128,2,12,8
2022/12/11,157,6,14,8
2022/12/12,156,4,20,8
2022/12/13,168,6,15,8
2022/12/14,168,5,21,9
2022/12/15,179,8,19,9
2022/12/16,203,5,11,8
2022/12/17,147,6,11,8
2022/12/18,117,5,18,8
2022/12/19,180,3,22,8
2022/12/20,188,7,18,9
2022/12/21,172,6,18,8
2022/12/22,180,3,20,8
2022/12/23,148,6,19,9
2022/12/24,160,3,19,9
2022/12/25,155,2,19,9
2022/12/26,176,1,19,9
2022/12/27,140,1,12,8
2022/12/30,123,1,10,9
2022/12/31,154,4,14,9
2023/1/1,156,3,12,9
2022/7/1,87,4,10,7
2022/7/2,72,3,9,7
2022/7/3,74,4,9,7
2022/7/4,110,2,12,7
2022/7/5,92,3,13,7
2022/7/6,108,2,10,7
2022/7/7,67,2,12,7
2022/7/8,83,2,11,7
2022/7/9,95,3,9,7
2022/7/10,96,2,11,7
2022/7/11,80,2,11,7
2022/7/12,76,2,10,7
2022/7/13,74,2,10,7
2022/7/14,85,2,10,7
2022/7/15,66,2,9,7
2022/7/16,65,2,9,7
2022/7/17,74,2,12,7
2022/7/18,84,1,10,7
2022/7/19,71,2,10,7
2022/7/20,67,2,9,7
2022/7/28,91,1,12,7
2022/7/29,101,2,13,7
2022/7/31,74,1,12,7
2022/8/1,76,1,13,7
2022/8/2,76,1,13,7
2022/8/3,84,1,13,7
2022/8/4,82,1,13,7
2022/8/6,70,1,11,7
2022/8/7,84,2,9,7
2022/8/8,83,2,10,7
2022/8/9,81,2,9,7
2022/8/10,89,2,7,7
2022/8/11,54,2,12,7
2022/8/12,77,3,13,7
2022/8/13,103,2,10,7
2022/8/14,75,2,11,7
2022/8/15,73,3,13,7
2022/8/16,87,2,11,7
2022/8/17,81,4,12,7
2022/8/18,101,5,13,7
2022/8/19,111,2,10,7
2022/8/20,73,2,8,7
2022/8/21,68,1,10,7
2022/8/22,59,2,11,7
2022/8/23,91,5,13,7
2022/8/24,134,2,12,7
2022/8/25,93,2,7,7
2022/8/26,56,2,10,7
2022/8/27,69,2,8,7
2022/8/28,76,2,8,7
2022/8/29,68,2,11,7
2022/8/30,76,2,15,7
2022/8/31,100,3,9,7
2022/9/1,93,4,9,7
2022/9/2,104,4,13,7
2022/9/3,124,3,9,7
2022/9/4,95,4,12,7
2022/9/5,83,7,14,7
2022/9/6,110,6,15,7
2022/9/7,149,2,8,7
2022/9/8,82,2,11,7
2022/9/9,98,3,12,7
2022/9/10,121,2,13,7
2022/9/11,96,4,15,7
2022/9/12,104,7,12,7
2022/9/13,133,7,15,7
2022/9/14,150,3,15,7
2022/9/15,122,1,13,7
2022/9/16,99,1,14,8
2022/9/17,106,6,15,8
2022/9/18,133,5,14,7
2022/9/19,107,4,12,8
2022/9/20,120,2,12,8
2022/9/21,110,2,14,8
2022/9/22,82,5,11,7
2022/9/24,111,4,9,7
2022/9/25,110,5,14,7
2022/9/26,127,6,14,8
2022/9/27,153,2,11,8
2022/9/28,152,2,11,8
2022/9/29,113,1,9,8
2022/9/30,83,2,9,8
2022/5/8,7,2,6,6
2022/5/9,24,2,5,6
2022/5/10,89,2,6,6
2022/5/11,110,3,9,7
2022/5/12,83,3,9,6
2022/5/13,91,4,5,7
2022/6/17,67,2,8,7
2022/6/18,76,3,7,6
2022/6/19,85,3,7,6
2022/6/20,89,3,9,6
2022/6/21,99,2,9,7
2022/6/22,97,3,10,7
2022/6/23,99,4,12,7
2022/6/24,93,2,9,7
2022/6/25,68,2,8,6
2022/6/26,88,2,9,7
2022/6/27,72,2,10,6
2022/6/28,99,5,16,7
2022/6/29,123,6,12,7
2022/6/30,100,2,14,7
2022/1/3,178,5,18,6
2022/1/4,194,3,15,6
2022/1/5,124,2,12,6
2022/1/6,97,4,14,6
2022/1/7,112,4,13,7
2022/1/8,131,2,6,5
2022/1/9,104,1,5,5
2022/1/10,98,4,10,6
2022/1/11,102,1,17,8
2022/1/12,129,2,10,6
2022/1/13,136,1,16,8
2022/1/14,174,2,14,6
2022/1/15,176,2,12,5
2022/1/16,149,2,5,5
2022/1/17,63,7,11,6
2022/1/18,115,6,13,7
2022/1/19,125,2,16,6
2022/1/20,136,1,15,7
2022/1/21,156,1,13,6
2022/1/22,153,2,12,6
2022/1/23,150,2,12,5
2022/1/24,96,2,9,5
2022/1/25,86,2,10,5
2022/1/26,89,3,9,5
2022/1/27,77,4,9,5
2022/1/28,78,3,6,5
2022/1/29,78,3,5,5
2022/1/30,72,4,3,5
2022/2/3,62,6,4,5
2022/2/4,91,6,7,5
2022/2/5,117,4,8,5
2022/2/6,133,3,8,6
2022/2/7,122,2,8,5
2022/2/8,80,1,5,5
2022/2/9,47,1,7,5
2022/2/10,91,1,10,6
2022/2/11,111,1,6,6
2022/2/12,72,2,4,5
2022/2/13,43,4,10,6
2022/2/14,94,2,11,7
2022/2/15,118,1,11,6
2022/2/16,133,1,17,6
2022/2/18,69,4,5,5
2022/2/20,30,5,5,5
2022/2/21,43,4,4,5
2022/2/22,46,6,7,6
2022/2/23,82,7,10,6
2022/2/24,96,6,16,7
2022/2/25,143,7,17,7
2022/2/26,162,9,15,6
2022/2/27,187,6,16,7
2022/2/28,165,5,16,6
2022/3/1,155,6,15,6
2022/3/2,152,3,13,7
2022/3/3,133,2,11,6
2022/3/4,94,2,11,6
